PC1,PC2,review
0.2842824971663872,-0.05451059827801607,Sizable parkland with wild animals
0.28428249716638776,-0.054510598278015736,Sprawling entertainment area with views
0.1311694702597792,-0.42503660604433,Stately museum with archeological relics
-0.05265863317264235,0.023298097045916847,
-0.05265863317264211,0.023298097045916847,
-0.05265863317264218,0.02329809704591683,
-0.05265863317264219,0.023298097045917492,
0.4898507377887354,0.0381813639544901,Park on the lake with a food court
-0.05265863317264218,0.023298097045916896,
-0.05265863317264218,0.02329809704591696,
-0.24619909627859823,0.1316314069551727,Temple dedicated to Lakshmi & Vishnu
-0.05265863317264219,0.023298097045916913,
-0.05265863317264219,0.02329809704591691,
0.5441044408502622,-0.09150283723145836,Amusement park with waterslides & rides
-0.05265863317264219,0.023298097045916913,
-0.052658633172642196,0.023298097045916913,
0.024754843361230894,0.5073200841168986,Large mosque built in the 17th century
0.5102464717801537,-0.08285236544292773,Leafy park with paths & picnic spots
-0.19193470008683214,-0.48120625813265455,Indoor & outdoor anthropology museum
0.191013382331568,-0.23235848344136026,Art space with an outdoor theater
-0.052658633172642196,0.023298097045916916,
-0.052658633172642196,0.023298097045916916,
-0.052658633172642196,0.023298097045916916,
0.2879312504628801,0.23274038718398926,Mosque with a striking facade & towers
-0.05125798734797747,0.5083353160783163,Imposing 19th-century stone mosque
-0.052658633172642196,0.023298097045916916,
-0.11682555866107817,0.03896267453076454,Environmental models & a library
-0.2190053506993332,-0.37213970448187605,Open-air museum of traditional homes
-0.052658633172642196,0.023298097045916916,
-0.2473571699695317,-0.4002855831536508,Interactive science & technology museum
-0.052658633172642196,0.023298097045916916,
-0.052658633172642196,0.023298097045916916,
-0.052658633172642196,0.023298097045916916,
-0.052658633172642196,0.023298097045916937,
-0.05265863317264222,0.02329809704591692,
-0.05265863317264222,0.023298097045916916,
-0.05265863317264222,0.023298097045916916,
-0.05265863317264222,0.023298097045916913,
-0.05265863317264222,0.023298097045916916,
-0.05265863317264222,0.023298097045916916,
-0.24619909627859804,0.13163140695517284,"Incomplete, centuries-old Hindu temple"
-0.05265863317264222,0.023298097045916927,
0.10108511769753355,-0.07889141931640609,Models of world monuments & a water park
-0.16081728705427528,0.07874129083205354,Center for visual & performing arts
